gene_symbol	category_major	category_minor
DLL1	Cancer_pathways	Notch
TCF7L2	Other	Other
HEY2	Other	Other
NTRK2	Cancer_pathways	RTK
EPHB2	Cancer_pathways	RTK
HEY1	Other	Other
GLI3	Other	Other
TGFB2	Cancer_pathways	TGFb
TSC1	Cancer_pathways	PI3K_AKT_mTOR
WNT7B	Cancer_pathways	WNT
JAK1	Cancer_pathways	JAK_STAT
WNT4	Cancer_pathways	WNT
STAT6	Cancer_pathways	JAK_STAT
RHEB	Other	Other
TP53	CellCycle_DDR_Stress	DNA_damage_repair
E2F2	CellCycle_DDR_Stress	Cell_cycle
MAPK10	Other	Other
IGF1R	Cancer_pathways	RTK
SMAD3	Cancer_pathways	TGFb
MAP2K4	Other	Other
NOTCH4	Cancer_pathways	Notch
EIF4EBP1	Other	Other
WNT3	Cancer_pathways	WNT
AKT2	Cancer_pathways	PI3K_AKT_mTOR
FZD10	Cancer_pathways	WNT
SMO	Other	Other
CCND1	Other	Other
DVL1	Cancer_pathways	WNT
ERBB4	Cancer_pathways	RTK
HES1	Cancer_pathways	Notch
JAK3	Cancer_pathways	JAK_STAT
DUSP6	Cancer_pathways	RAS_MAPK
PTEN	Cancer_pathways	PI3K_AKT_mTOR
FGFR4	Cancer_pathways	RTK
STAT2	Cancer_pathways	JAK_STAT
SOS1	Other	Other
SMAD2	Cancer_pathways	TGFb
SMAD7	Cancer_pathways	TGFb
WNT5A	Cancer_pathways	WNT
TERT	Other	Other
WNT5B	Cancer_pathways	WNT
PTPN11	Other	Other
JAG1	Cancer_pathways	Notch
SOCS3	Cancer_pathways	JAK_STAT
NOTCH3	Cancer_pathways	Notch
NTRK1	Cancer_pathways	RTK
FZD8	Cancer_pathways	WNT
NOTCH2	Cancer_pathways	Notch
E2F3	CellCycle_DDR_Stress	Cell_cycle
NRAS	Cancer_pathways	RAS_MAPK
EGFR	Cancer_pathways	RTK
CCNE1	Other	Other
MAPK11	Other	Other
CTNNB1	Cancer_pathways	WNT
PTCH1	Other	Other
APC	Cancer_pathways	WNT
SOCS1	Cancer_pathways	JAK_STAT
EIF4E	Other	Other
ERBB2	Cancer_pathways	RTK
PDPK1	Other	Other
PDGFRA	Cancer_pathways	RTK
MAP2K2	Cancer_pathways	RAS_MAPK
CCND3	Other	Other
FZD3	Cancer_pathways	WNT
MAP2K6	Other	Other
RICTOR	Cancer_pathways	PI3K_AKT_mTOR
AXIN1	Cancer_pathways	WNT
STAT3	Cancer_pathways	JAK_STAT
MAPK13	Other	Other
FLT4	Cancer_pathways	RTK
BRAF	Cancer_pathways	RAS_MAPK
MAPK8	Other	Other
MDM2	CellCycle_DDR_Stress	DNA_damage_repair
AKT3	Cancer_pathways	PI3K_AKT_mTOR
FZD5	Cancer_pathways	WNT
MAPK1	Cancer_pathways	RAS_MAPK
FZD1	Cancer_pathways	WNT
FOXO1	Other	Other
FRAT1	Other	Other
TGFBR1	Cancer_pathways	TGFb
APC2	Other	Other
FZD2	Cancer_pathways	WNT
FOXO3	Other	Other
IRS2	Other	Other
LRP5	Cancer_pathways	WNT
MAP2K7	Other	Other
SMAD4	Cancer_pathways	TGFb
PIK3R1	Other	Other
CCND2	Other	Other
GSK3B	Other	Other
JAK2	Cancer_pathways	JAK_STAT
STAT4	Cancer_pathways	JAK_STAT
KRAS	Cancer_pathways	RAS_MAPK
AXIN2	Cancer_pathways	WNT
CCNE2	Other	Other
STAT5B	Cancer_pathways	JAK_STAT
FOXO4	Other	Other
SOS2	Other	Other
AXL	Cancer_pathways	RTK
FLT1	Cancer_pathways	RTK
MYCN	Other	Other
TGFBR2	Cancer_pathways	TGFb
SOX2	Other	Other
EPHA2	Cancer_pathways	RTK
SPRY2	Cancer_pathways	RAS_MAPK
FGFR3	Cancer_pathways	RTK
STAT1	Cancer_pathways	JAK_STAT
PIK3R2	Other	Other
DLL3	Cancer_pathways	Notch
TGFB3	Cancer_pathways	TGFb
ERBB3	Cancer_pathways	RTK
FGFR2	Cancer_pathways	RTK
PIK3CA	Cancer_pathways	PI3K_AKT_mTOR
MYC	Other	Other
MAPK14	Other	Other
HRAS	Cancer_pathways	RAS_MAPK
GLI2	Other	Other
FGFR1	Cancer_pathways	RTK
LRP6	Cancer_pathways	WNT
FZD7	Cancer_pathways	WNT
NTRK3	Cancer_pathways	RTK
PIK3CB	Cancer_pathways	PI3K_AKT_mTOR
DLL4	Cancer_pathways	Notch
KIT	Cancer_pathways	RTK
RASA1	Other	Other
PIK3CG	Cancer_pathways	PI3K_AKT_mTOR
SHC1	Other	Other
PIK3R3	Other	Other
MTOR	Cancer_pathways	PI3K_AKT_mTOR
TSC2	Cancer_pathways	PI3K_AKT_mTOR
GRB2	Other	Other
MAPK3	Cancer_pathways	RAS_MAPK
FZD6	Cancer_pathways	WNT
MAPK9	Other	Other
MAP2K3	Other	Other
IRS1	Other	Other
EPHA4	Cancer_pathways	RTK
MAP2K1	Cancer_pathways	RAS_MAPK
RAD52	Other	Other
HSP90B1	CellCycle_DDR_Stress	Stress_Senescence
CDK4	CellCycle_DDR_Stress	Cell_cycle
ATF3	CellCycle_DDR_Stress	Stress_Senescence
CCNB1	CellCycle_DDR_Stress	Cell_cycle
MKI67	CellCycle_DDR_Stress	Cell_cycle
XRCC5	Other	Other
MCM5	CellCycle_DDR_Stress	Cell_cycle
LIG1	Other	Other
HSPA1B	CellCycle_DDR_Stress	Stress_Senescence
ORC5	Other	Other
XRCC4	Other	Other
CHEK1	CellCycle_DDR_Stress	DNA_damage_repair
MDC1	Other	Other
RAD1	Other	Other
AURKB	CellCycle_DDR_Stress	Cell_cycle
PPP1R15A	Other	Other
MCM2	CellCycle_DDR_Stress	Cell_cycle
RAD51	CellCycle_DDR_Stress	DNA_damage_repair
PRKDC	Other	Other
MRE11A	CellCycle_DDR_Stress	DNA_damage_repair
PARP2	CellCycle_DDR_Stress	DNA_damage_repair
CHEK2	CellCycle_DDR_Stress	DNA_damage_repair
NFE2L2	CellCycle_DDR_Stress	Stress_Senescence
HSPB8	CellCycle_DDR_Stress	Stress_Senescence
BRIP1	Other	Other
CCNA1	Other	Other
HSPH1	CellCycle_DDR_Stress	Stress_Senescence
PMS2	Other	Other
TOP2A	CellCycle_DDR_Stress	Cell_cycle
CCNA2	CellCycle_DDR_Stress	Cell_cycle
DDIT3	CellCycle_DDR_Stress	Stress_Senescence
CDT1	Other	Other
ATF6	Other	Other
XRCC2	Other	Other
CDK1	CellCycle_DDR_Stress	Cell_cycle
RAD54L	Other	Other
LIG4	Other	Other
PPP1R15B	Other	Other
POLK	Other	Other
CDC6	Other	Other
XRCC3	Other	Other
ATM	CellCycle_DDR_Stress	DNA_damage_repair
ORC6	Other	Other
ORC3	Other	Other
AURKA	CellCycle_DDR_Stress	Cell_cycle
RPA2	Other	Other
POLH	Other	Other
BRCA1	CellCycle_DDR_Stress	DNA_damage_repair
MLH1	Other	Other
LIG3	Other	Other
ATF4	CellCycle_DDR_Stress	Stress_Senescence
MSH2	Other	Other
HUS1	Other	Other
XRCC1	Other	Other
CDK6	CellCycle_DDR_Stress	Cell_cycle
BUB1B	CellCycle_DDR_Stress	Cell_cycle
ATR	CellCycle_DDR_Stress	DNA_damage_repair
FOSB	CellCycle_DDR_Stress	Stress_Senescence
RAD50	CellCycle_DDR_Stress	DNA_damage_repair
FANCD2	CellCycle_DDR_Stress	DNA_damage_repair
RPA1	Other	Other
MCM7	CellCycle_DDR_Stress	Cell_cycle
PCNA	CellCycle_DDR_Stress	Cell_cycle
H2AFX	CellCycle_DDR_Stress	DNA_damage_repair
CCNB2	CellCycle_DDR_Stress	Cell_cycle
HIF1A	CellCycle_DDR_Stress	Stress_Senescence
RAD17	Other	Other
ORC4	Other	Other
MSH6	Other	Other
CDKN1A	CellCycle_DDR_Stress	DNA_damage_repair
HSF1	Other	Other
CDK2	CellCycle_DDR_Stress	Cell_cycle
BUB1	CellCycle_DDR_Stress	Cell_cycle
ORC2	Other	Other
PARP1	CellCycle_DDR_Stress	DNA_damage_repair
ORC1	Other	Other
EXO1	Other	Other
PLK1	CellCycle_DDR_Stress	Cell_cycle
POLQ	Other	Other
MCM6	CellCycle_DDR_Stress	Cell_cycle
MCM4	CellCycle_DDR_Stress	Cell_cycle
BRCA2	CellCycle_DDR_Stress	DNA_damage_repair
CDC7	Other	Other
HSPB2	CellCycle_DDR_Stress	Stress_Senescence
MCM3	CellCycle_DDR_Stress	Cell_cycle
ITGA3	Other	Other
EGLN2	Other	Other
ITGB3	Other	Other
LDHA	Other	Other
MUC1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
VEGFB	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
ZEB2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
LAMC1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
LAMA4	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
EGLN1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
TIMP2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
VEGFC	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
PGF	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
MMP14	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
LAMA2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
P4HA2	Other	Other
ITGA2	Other	Other
TWIST2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
KRT20	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
CDH2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
LAMB1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
LOXL2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
ITGA5	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
ITGB5	Other	Other
ZEB1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
ITGA1	Other	Other
TEK	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
TWIST1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
VEGFA	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
EPCAM	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
PDGFA	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
P4HA1	Other	Other
PDK3	Other	Other
PDGFB	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
ANGPT1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
CDH1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
SNAI1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
PDK1	Other	Other
ITGAV	Other	Other
EGLN3	Other	Other
P4HB	Other	Other
ENTPD1	Other	Other
NT5E	Other	Other
ICOSLG	Other	Other
CLEC4C	Other	Other
