Gene,Methods where it appears,Biological relevance (dataset context),Relevance score
IGHV3-30,Curated,High-ranking informative gene,1.075474148751026
SLC5A12,Curated,High-ranking informative gene,0.5466925379547796
DDIT4,Curated,High-ranking informative gene,2.369250088220528
CXCR5,Curated,Tfh marker,1.9474777181467249
CXCR6,Curated,Chemokine receptor,2.3614606765752573
KLRD1,Curated,NK cytotoxic marker,2.080901567123555
KDR,Curated,RTK,1.5346159374325403
CCL17,Curated,Chemokine,1.7956770093555914
KLRG1,Curated,Immune other marker,1.930532018940225
UBE2C,Curated,Cell cycle,1.5769308029621545
CX3CR1,Curated,Chemokine receptor,2.0046159927660137
CDC20,Curated,Cell cycle,1.491652983116608
CA9,Curated,High-ranking informative gene,0.5657024821409119
CCL21,Curated,Chemokine,1.891671747905972
CXCL6,Curated,High-ranking informative gene,0.5402419134908303
IFNG,Curated,NK cytotoxic marker,2.9991344104745457
CXCL11,Curated,Chemokine,1.7431854753800744
HSPA8,Curated,Stress Senescence,4.287303659459199
CD40LG,Curated,High-ranking informative gene,0.7135025971955883
KLRK1,Curated,High-ranking informative gene,0.6443023873483116
CCR2,Curated,Chemokine receptor,1.815952756238459
IL17A,Curated,Cytokine,1.740418593452195
IL17F,Curated,Cytokine,1.7126502620441957
CCL7,Curated,Chemokine,1.803482838058208
CXCL5,Curated,High-ranking informative gene,0.43147995750905
IL1A,Curated,Cytokine,1.6529779014223074
CSF2,Curated,High-ranking informative gene,0.4210241480708349
CSF3,Curated,High-ranking informative gene,0.3744998991452605
DKK1,Curated,WNT,1.452599874903424
CCL1,Curated,High-ranking informative gene,0.3919694636843016
CCL11,Curated,High-ranking informative gene,0.5071412318492167
CCL24,Curated,High-ranking informative gene,0.4198023182725621
CXCR1,Curated,High-ranking informative gene,0.4503353521921744
ROS1,Curated,RTK,1.2678080050765137
IL6,Curated,Cytokine,1.7063804228695316
IL2,Curated,Cytokine,1.6046188728897297
IL21,Curated,Cytokine,1.673375315706918
MARCO,Curated,Mono Macrophage marker,1.5622390094986267
CLEC9A,Curated,Dendritic cell marker,1.40840590425652
CCL13,Curated,High-ranking informative gene,0.248338582958
CCR9,Curated,High-ranking informative gene,0.3620195429028094
CCL25,Curated,High-ranking informative gene,0.3172424195832299
IL4,Curated,Cytokine,1.4868337261278273
TNFSF18,Curated,TNF ligand,1.5192421566626444
MT-RNR1,Curated,,
IGLC3,Curated,,
MT-RNR2,Curated,,
CD1C,Curated,,
SIGLEC10,Curated,Checkpoint Exhaustion,1.2363870937099093
HLA-DQB1,Curated,Immune other marker,1.9232688124376365
RORC,Curated,Th17 marker,1.0990107499643638
CD3G,Curated,T cell receptor complex marker,1.0990107499643638
CD38,Curated,Immune other marker,1.0990107499643638
TOX,Curated,Immune other marker,2.1980214999287275
HLA-DRB1,Curated,Antigen presentation II marker,3.0222795624020007
CCR4,Curated,Th2 marker,1.0990107499643638
NRP1,Curated,High-ranking informative gene,0.0
IKZF2,Curated,Treg marker,1.0990107499643638
IL2RA,Curated,Treg marker,1.0990107499643638
MERTK,Curated,RTK,0.961634406218818
PRDM1,Curated,Plasma cell marker,1.0990107499643638
HAVCR2,Curated,Immune other marker,2.1980214999287275
CD4,Curated,Immune other marker,1.0990107499643638
TBX21,Curated,Th1 marker,1.0990107499643638
BCL6,Curated,Tfh marker,1.0990107499643638
HLA-DPB1,Curated,Antigen presentation II marker,1.9232688124376365
HLA-DRA,Curated,Antigen presentation II marker,3.0222795624020007
PDCD1,Curated,Immune other marker,2.1980214999287275
CCR5,Curated,Chemokine receptor,1.2363870937099093
PTPRC,Curated,Pan leukocyte marker,1.0990107499643638
SIGLEC1,Curated,High-ranking informative gene,0.0
SIRPB1,Curated,High-ranking informative gene,0.0
GATA3,Curated,Th2 marker,1.0990107499643638
LILRB2,Curated,High-ranking informative gene,0.0
ITGAX,Curated,Dendritic cell marker,1.0990107499643638
IRF4,Curated,Plasma cell marker,1.0990107499643638
FCGR3B,Curated,Neutrophil MDSC marker,1.0990107499643638
CD79B,Curated,B cell marker,1.0990107499643638
XBP1,Curated,Plasma cell marker,1.0990107499643638
ITGAL,Curated,High-ranking informative gene,0.0
LILRB1,Curated,High-ranking informative gene,0.0
SIRPA,Curated,High-ranking informative gene,0.0
CCR8,Curated,Chemokine receptor,1.2363870937099093
TCF7,Curated,Immune other marker,1.0990107499643638
BATF,Curated,Immune other marker,2.1980214999287275
HLA-B,Curated,Antigen presentation I marker,3.0222795624020007
PDPN,Curated,ECM Fibroblast,0.8242580624732727
ITGAM,Curated,Mono Macrophage marker,1.0990107499643638
ENG,Curated,Vasculature,0.8242580624732727
LAMP3,Curated,Dendritic cell marker,1.0990107499643638
HLA-DPA1,Curated,Antigen presentation II marker,1.9232688124376365
MPO,Curated,Neutrophil MDSC marker,1.0990107499643638
HLA-C,Curated,Antigen presentation I marker,3.0222795624020007
CCR10,Curated,Immune other marker,1.0990107499643638
CD28,Curated,High-ranking informative gene,0.0
ICOS,Curated,Tfh marker,1.0990107499643638
HLA-DQA1,Curated,Immune other marker,1.9232688124376365
HLA-A,Curated,Antigen presentation I marker,3.0222795624020007
SDC1,Curated,Plasma cell marker,1.0990107499643638
LILRA4,Curated,High-ranking informative gene,0.0
MCAM,Curated,Vasculature,0.8242580624732727
LEF1,Curated,Immune other marker,1.0990107499643638
CTLA4,Curated,Immune other marker,2.1980214999287275
MRC1,Curated,Mono Macrophage marker,1.0990107499643638
CCR6,Curated,Th17 marker,1.0990107499643638
CCL14,Curated,High-ranking informative gene,0.0
IL33,Curated,Cytokine,1.2363870937099093
PDCD1LG2,Curated,Checkpoint Exhaustion,1.2363870937099093
CXCL4,Curated,High-ranking informative gene,0.0
CCL12,Curated,High-ranking informative gene,0.0
CXCL7,Curated,High-ranking informative gene,0.0
TNFRSF7,Curated,TNFR superfamily,1.2363870937099093
IL12,Curated,Cytokine,1.2363870937099093
TNFSF3,Curated,TNF ligand,1.2363870937099093
TNFRSF19,Curated,TNFR superfamily,1.2363870937099093
TNFSF12,Curated,TNF ligand,1.2363870937099093
TNFSF7,Curated,TNF ligand,1.2363870937099093
LIF,Curated,High-ranking informative gene,0.0
TNFRSF8,Curated,TNFR superfamily,1.2363870937099093
TNFSF6,Curated,TNF ligand,1.2363870937099093
CCL4,Curated,Chemokine,1.2363870937099093
TNFSF13,Curated,TNF ligand,1.2363870937099093
CSF1,Curated,High-ranking informative gene,0.0
TNFRSF23,Curated,TNFR superfamily,1.2363870937099093
TNFSF15,Curated,TNF ligand,1.2363870937099093
CCR3,Curated,High-ranking informative gene,0.0
TNFRSF16,Curated,TNFR superfamily,1.2363870937099093
TNFSF10,Curated,TNF ligand,1.2363870937099093
TNFRSF20,Curated,TNFR superfamily,1.2363870937099093
IL8,Curated,Cytokine,1.2363870937099093
TNFSF8,Curated,TNF ligand,1.2363870937099093
TNFRSF5,Curated,TNFR superfamily,1.2363870937099093
TNFRSF14,Curated,TNFR superfamily,1.2363870937099093
TNFRSF25,Curated,TNFR superfamily,1.2363870937099093
CX3CL1,Curated,High-ranking informative gene,0.0
TNFRSF1,Curated,TNFR superfamily,1.2363870937099093
CD40,Curated,TNFR superfamily,1.2363870937099093
TNFRSF6,Curated,TNFR superfamily,1.2363870937099093
TNFSF16,Curated,TNF ligand,1.2363870937099093
TNFRSF24,Curated,TNFR superfamily,1.2363870937099093
CCL23,Curated,High-ranking informative gene,0.0
IL24,Curated,Cytokine,1.2363870937099093
CD274,Curated,Checkpoint Exhaustion,1.2363870937099093
IL27,Curated,Cytokine,1.2363870937099093
CCL10,Curated,High-ranking informative gene,0.0
CXCR2,Curated,High-ranking informative gene,0.0
CCL6,Curated,High-ranking informative gene,0.0
CCL15,Curated,High-ranking informative gene,0.0
IL1,Curated,Cytokine,1.2363870937099093
IL11,Curated,Cytokine,1.2363870937099093
CCL26,Curated,High-ranking informative gene,0.0
IL34,Curated,Cytokine,1.2363870937099093
CCL3,Curated,Chemokine,1.2363870937099093
TNFRSF21,Curated,TNFR superfamily,1.2363870937099093
TNFSF2,Curated,TNF ligand,1.2363870937099093
IL3,Curated,Cytokine,1.2363870937099093
TNFRSF22,Curated,TNFR superfamily,1.2363870937099093
IL25,Curated,Cytokine,1.2363870937099093
CCL27,Curated,High-ranking informative gene,0.0
IL23A,Curated,Cytokine,1.2363870937099093
CCL16,Curated,High-ranking informative gene,0.0
TNFRSF12,Curated,TNFR superfamily,1.2363870937099093
IL23,Curated,Cytokine,1.2363870937099093
TNFSF4,Curated,TNF ligand,1.2363870937099093
IL7,Curated,Cytokine,1.2363870937099093
ADORA2A,Curated,Checkpoint Exhaustion,1.2363870937099093
IL28,Curated,Cytokine,1.2363870937099093
IL30,Curated,Cytokine,1.2363870937099093
VSIR,Curated,Checkpoint Exhaustion,1.2363870937099093
IL10,Curated,Cytokine,1.2363870937099093
IL16,Curated,Cytokine,1.2363870937099093
IL36,Curated,Cytokine,1.2363870937099093
TNF,Curated,Cytokine,1.2363870937099093
TNFSF14,Curated,TNF ligand,1.2363870937099093
CCL18,Curated,Chemokine,1.2363870937099093
TNFRSF10,Curated,TNFR superfamily,1.2363870937099093
TNFRSF2,Curated,TNFR superfamily,1.2363870937099093
IL18,Curated,Cytokine,1.2363870937099093
IL12A,Curated,Cytokine,1.2363870937099093
IL20,Curated,Cytokine,1.2363870937099093
IL12B,Curated,Cytokine,1.2363870937099093
CCL28,Curated,High-ranking informative gene,0.0
TNFRSF3,Curated,TNFR superfamily,1.2363870937099093
TNFSF19,Curated,TNF ligand,1.2363870937099093
TNFRSF9,Curated,TNFR superfamily,1.2363870937099093
IL15,Curated,Cytokine,1.2363870937099093
TNFSF5,Curated,TNF ligand,1.2363870937099093
CXCL15,Curated,High-ranking informative gene,0.0
IL31,Curated,Cytokine,1.2363870937099093
IL14,Curated,Cytokine,1.2363870937099093
IL29,Curated,Cytokine,1.2363870937099093
TNFRSF13,Curated,TNFR superfamily,1.2363870937099093
TNFSF11,Curated,TNF ligand,1.2363870937099093
TNFSF17,Curated,TNF ligand,1.2363870937099093
CCR1,Curated,High-ranking informative gene,0.0
CCL22,Curated,High-ranking informative gene,0.0
TNFSF9,Curated,TNF ligand,1.2363870937099093
IL26,Curated,Cytokine,1.2363870937099093
IL17,Curated,Cytokine,1.2363870937099093
TNFRSF11,Curated,TNFR superfamily,1.2363870937099093
IL5,Curated,Cytokine,1.2363870937099093
CCL5,Curated,Chemokine,1.2363870937099093
CXCL16,Curated,Chemokine,1.2363870937099093
LAIR1,Curated,Checkpoint Exhaustion,1.2363870937099093
IL35,Curated,Cytokine,1.2363870937099093
TNFSF1,Curated,TNF ligand,1.2363870937099093
TGFB1,Curated,Cytokine,1.2363870937099093
CCL9,Curated,High-ranking informative gene,0.0
TNFRSF15,Curated,TNFR superfamily,1.2363870937099093
IL19,Curated,Cytokine,1.2363870937099093
E2F1,Curated,Cell cycle,0.6868817187277272
AKT1S1,Curated,High-ranking informative gene,0.0
NOTCH1,Curated,Notch,0.961634406218818
RET,Curated,RTK,0.961634406218818
RPTOR,Curated,PI3K AKT mTOR,0.961634406218818
DVL2,Curated,WNT,0.961634406218818
DVL3,Curated,WNT,0.961634406218818
GAB1,Curated,High-ranking informative gene,0.0
RAF1,Curated,RAS MAPK,0.961634406218818
WNT2,Curated,WNT,0.961634406218818
MET,Curated,RTK,0.961634406218818
RB1,Curated,High-ranking informative gene,0.0
GLI1,Curated,High-ranking informative gene,0.0
PORCN,Curated,WNT,0.961634406218818
MAPK12,Curated,High-ranking informative gene,0.0
PIK3CD,Curated,PI3K AKT mTOR,0.961634406218818
AKT1,Curated,PI3K AKT mTOR,0.961634406218818
STAT5A,Curated,JAK STAT,0.961634406218818
TYK2,Curated,JAK STAT,0.961634406218818
FZD9,Curated,WNT,0.961634406218818
FZD4,Curated,WNT,0.961634406218818
PDGFRB,Curated,RTK,0.961634406218818
FLT3,Curated,RTK,0.961634406218818
JAG2,Curated,Notch,0.961634406218818
CDKN2A,Curated,High-ranking informative gene,0.0
DLL1,Curated,Notch,0.961634406218818
TCF7L2,Curated,High-ranking informative gene,0.0
HEY2,Curated,High-ranking informative gene,0.0
NTRK2,Curated,RTK,0.961634406218818
EPHB2,Curated,RTK,0.961634406218818
HEY1,Curated,High-ranking informative gene,0.0
GLI3,Curated,High-ranking informative gene,0.0
TGFB2,Curated,TGFb,0.961634406218818
TSC1,Curated,PI3K AKT mTOR,0.961634406218818
WNT7B,Curated,WNT,0.961634406218818
JAK1,Curated,JAK STAT,0.961634406218818
WNT4,Curated,WNT,0.961634406218818
STAT6,Curated,JAK STAT,0.961634406218818
RHEB,Curated,High-ranking informative gene,0.0
TP53,Curated,DNA damage repair,0.6868817187277272
E2F2,Curated,Cell cycle,0.6868817187277272
MAPK10,Curated,High-ranking informative gene,0.0
IGF1R,Curated,RTK,0.961634406218818
SMAD3,Curated,TGFb,0.961634406218818
MAP2K4,Curated,High-ranking informative gene,0.0
NOTCH4,Curated,Notch,0.961634406218818
EIF4EBP1,Curated,High-ranking informative gene,0.0
WNT3,Curated,WNT,0.961634406218818
AKT2,Curated,PI3K AKT mTOR,0.961634406218818
FZD10,Curated,WNT,0.961634406218818
SMO,Curated,High-ranking informative gene,0.0
CCND1,Curated,High-ranking informative gene,0.0
DVL1,Curated,WNT,0.961634406218818
ERBB4,Curated,RTK,0.961634406218818
HES1,Curated,Notch,0.961634406218818
JAK3,Curated,JAK STAT,0.961634406218818
DUSP6,Curated,RAS MAPK,0.961634406218818
PTEN,Curated,PI3K AKT mTOR,0.961634406218818
FGFR4,Curated,RTK,0.961634406218818
STAT2,Curated,JAK STAT,0.961634406218818
SOS1,Curated,High-ranking informative gene,0.0
SMAD2,Curated,TGFb,0.961634406218818
SMAD7,Curated,TGFb,0.961634406218818
WNT5A,Curated,WNT,0.961634406218818
TERT,Curated,High-ranking informative gene,0.0
WNT5B,Curated,WNT,0.961634406218818
PTPN11,Curated,High-ranking informative gene,0.0
JAG1,Curated,Notch,0.961634406218818
SOCS3,Curated,JAK STAT,0.961634406218818
NOTCH3,Curated,Notch,0.961634406218818
NTRK1,Curated,RTK,0.961634406218818
FZD8,Curated,WNT,0.961634406218818
NOTCH2,Curated,Notch,0.961634406218818
E2F3,Curated,Cell cycle,0.6868817187277272
NRAS,Curated,RAS MAPK,0.961634406218818
EGFR,Curated,RTK,0.961634406218818
CCNE1,Curated,High-ranking informative gene,0.0
MAPK11,Curated,High-ranking informative gene,0.0
CTNNB1,Curated,WNT,0.961634406218818
PTCH1,Curated,High-ranking informative gene,0.0
APC,Curated,WNT,0.961634406218818
SOCS1,Curated,JAK STAT,0.961634406218818
EIF4E,Curated,High-ranking informative gene,0.0
ERBB2,Curated,RTK,0.961634406218818
PDPK1,Curated,High-ranking informative gene,0.0
PDGFRA,Curated,RTK,0.961634406218818
MAP2K2,Curated,RAS MAPK,0.961634406218818
CCND3,Curated,High-ranking informative gene,0.0
FZD3,Curated,WNT,0.961634406218818
MAP2K6,Curated,High-ranking informative gene,0.0
RICTOR,Curated,PI3K AKT mTOR,0.961634406218818
AXIN1,Curated,WNT,0.961634406218818
STAT3,Curated,JAK STAT,0.961634406218818
MAPK13,Curated,High-ranking informative gene,0.0
FLT4,Curated,RTK,0.961634406218818
BRAF,Curated,RAS MAPK,0.961634406218818
MAPK8,Curated,High-ranking informative gene,0.0
MDM2,Curated,DNA damage repair,0.6868817187277272
AKT3,Curated,PI3K AKT mTOR,0.961634406218818
FZD5,Curated,WNT,0.961634406218818
MAPK1,Curated,RAS MAPK,0.961634406218818
FZD1,Curated,WNT,0.961634406218818
FOXO1,Curated,High-ranking informative gene,0.0
FRAT1,Curated,High-ranking informative gene,0.0
TGFBR1,Curated,TGFb,0.961634406218818
APC2,Curated,High-ranking informative gene,0.0
FZD2,Curated,WNT,0.961634406218818
FOXO3,Curated,High-ranking informative gene,0.0
IRS2,Curated,High-ranking informative gene,0.0
LRP5,Curated,WNT,0.961634406218818
MAP2K7,Curated,High-ranking informative gene,0.0
SMAD4,Curated,TGFb,0.961634406218818
PIK3R1,Curated,High-ranking informative gene,0.0
CCND2,Curated,High-ranking informative gene,0.0
GSK3B,Curated,High-ranking informative gene,0.0
JAK2,Curated,JAK STAT,0.961634406218818
STAT4,Curated,JAK STAT,0.961634406218818
KRAS,Curated,RAS MAPK,0.961634406218818
AXIN2,Curated,WNT,0.961634406218818
CCNE2,Curated,High-ranking informative gene,0.0
STAT5B,Curated,JAK STAT,0.961634406218818
FOXO4,Curated,High-ranking informative gene,0.0
SOS2,Curated,High-ranking informative gene,0.0
AXL,Curated,RTK,0.961634406218818
FLT1,Curated,RTK,0.961634406218818
MYCN,Curated,High-ranking informative gene,0.0
TGFBR2,Curated,TGFb,0.961634406218818
SOX2,Curated,High-ranking informative gene,0.0
EPHA2,Curated,RTK,0.961634406218818
SPRY2,Curated,RAS MAPK,0.961634406218818
FGFR3,Curated,RTK,0.961634406218818
STAT1,Curated,JAK STAT,0.961634406218818
PIK3R2,Curated,High-ranking informative gene,0.0
DLL3,Curated,Notch,0.961634406218818
TGFB3,Curated,TGFb,0.961634406218818
ERBB3,Curated,RTK,0.961634406218818
FGFR2,Curated,RTK,0.961634406218818
PIK3CA,Curated,PI3K AKT mTOR,0.961634406218818
MYC,Curated,High-ranking informative gene,0.0
MAPK14,Curated,High-ranking informative gene,0.0
HRAS,Curated,RAS MAPK,0.961634406218818
GLI2,Curated,High-ranking informative gene,0.0
FGFR1,Curated,RTK,0.961634406218818
LRP6,Curated,WNT,0.961634406218818
FZD7,Curated,WNT,0.961634406218818
NTRK3,Curated,RTK,0.961634406218818
PIK3CB,Curated,PI3K AKT mTOR,0.961634406218818
DLL4,Curated,Notch,0.961634406218818
KIT,Curated,RTK,0.961634406218818
RASA1,Curated,High-ranking informative gene,0.0
PIK3CG,Curated,PI3K AKT mTOR,0.961634406218818
SHC1,Curated,High-ranking informative gene,0.0
PIK3R3,Curated,High-ranking informative gene,0.0
MTOR,Curated,PI3K AKT mTOR,0.961634406218818
TSC2,Curated,PI3K AKT mTOR,0.961634406218818
GRB2,Curated,High-ranking informative gene,0.0
MAPK3,Curated,RAS MAPK,0.961634406218818
FZD6,Curated,WNT,0.961634406218818
MAPK9,Curated,High-ranking informative gene,0.0
MAP2K3,Curated,High-ranking informative gene,0.0
IRS1,Curated,High-ranking informative gene,0.0
EPHA4,Curated,RTK,0.961634406218818
MAP2K1,Curated,RAS MAPK,0.961634406218818
RAD52,Curated,High-ranking informative gene,0.0
HSP90B1,Curated,Stress Senescence,0.6868817187277272
CDK4,Curated,Cell cycle,0.6868817187277272
ATF3,Curated,Stress Senescence,0.6868817187277272
CCNB1,Curated,Cell cycle,0.6868817187277272
MKI67,Curated,Cell cycle,0.6868817187277272
XRCC5,Curated,High-ranking informative gene,0.0
MCM5,Curated,Cell cycle,0.6868817187277272
LIG1,Curated,High-ranking informative gene,0.0
HSPA1B,Curated,Stress Senescence,0.6868817187277272
ORC5,Curated,High-ranking informative gene,0.0
XRCC4,Curated,High-ranking informative gene,0.0
CHEK1,Curated,DNA damage repair,0.6868817187277272
MDC1,Curated,High-ranking informative gene,0.0
RAD1,Curated,High-ranking informative gene,0.0
AURKB,Curated,Cell cycle,0.6868817187277272
PPP1R15A,Curated,High-ranking informative gene,0.0
MCM2,Curated,Cell cycle,0.6868817187277272
RAD51,Curated,DNA damage repair,0.6868817187277272
PRKDC,Curated,High-ranking informative gene,0.0
MRE11A,Curated,DNA damage repair,0.6868817187277272
PARP2,Curated,DNA damage repair,0.6868817187277272
CHEK2,Curated,DNA damage repair,0.6868817187277272
NFE2L2,Curated,Stress Senescence,0.6868817187277272
HSPB8,Curated,Stress Senescence,0.6868817187277272
BRIP1,Curated,High-ranking informative gene,0.0
CCNA1,Curated,High-ranking informative gene,0.0
HSPH1,Curated,Stress Senescence,0.6868817187277272
PMS2,Curated,High-ranking informative gene,0.0
TOP2A,Curated,Cell cycle,0.6868817187277272
CCNA2,Curated,Cell cycle,0.6868817187277272
DDIT3,Curated,Stress Senescence,0.6868817187277272
CDT1,Curated,High-ranking informative gene,0.0
ATF6,Curated,High-ranking informative gene,0.0
XRCC2,Curated,High-ranking informative gene,0.0
CDK1,Curated,Cell cycle,0.6868817187277272
RAD54L,Curated,High-ranking informative gene,0.0
LIG4,Curated,High-ranking informative gene,0.0
PPP1R15B,Curated,High-ranking informative gene,0.0
POLK,Curated,High-ranking informative gene,0.0
CDC6,Curated,High-ranking informative gene,0.0
XRCC3,Curated,High-ranking informative gene,0.0
ATM,Curated,DNA damage repair,0.6868817187277272
ORC6,Curated,High-ranking informative gene,0.0
ORC3,Curated,High-ranking informative gene,0.0
AURKA,Curated,Cell cycle,0.6868817187277272
RPA2,Curated,High-ranking informative gene,0.0
POLH,Curated,High-ranking informative gene,0.0
BRCA1,Curated,DNA damage repair,0.6868817187277272
MLH1,Curated,High-ranking informative gene,0.0
LIG3,Curated,High-ranking informative gene,0.0
ATF4,Curated,Stress Senescence,0.6868817187277272
MSH2,Curated,High-ranking informative gene,0.0
HUS1,Curated,High-ranking informative gene,0.0
XRCC1,Curated,High-ranking informative gene,0.0
CDK6,Curated,Cell cycle,0.6868817187277272
BUB1B,Curated,Cell cycle,0.6868817187277272
ATR,Curated,DNA damage repair,0.6868817187277272
FOSB,Curated,Stress Senescence,0.6868817187277272
RAD50,Curated,DNA damage repair,0.6868817187277272
FANCD2,Curated,DNA damage repair,0.6868817187277272
RPA1,Curated,High-ranking informative gene,0.0
MCM7,Curated,Cell cycle,0.6868817187277272
PCNA,Curated,Cell cycle,0.6868817187277272
H2AFX,Curated,DNA damage repair,0.6868817187277272
CCNB2,Curated,Cell cycle,0.6868817187277272
HIF1A,Curated,Stress Senescence,0.6868817187277272
RAD17,Curated,High-ranking informative gene,0.0
ORC4,Curated,High-ranking informative gene,0.0
MSH6,Curated,High-ranking informative gene,0.0
CDKN1A,Curated,DNA damage repair,0.6868817187277272
HSF1,Curated,High-ranking informative gene,0.0
CDK2,Curated,Cell cycle,0.6868817187277272
BUB1,Curated,Cell cycle,0.6868817187277272
ORC2,Curated,High-ranking informative gene,0.0
PARP1,Curated,DNA damage repair,0.6868817187277272
ORC1,Curated,High-ranking informative gene,0.0
EXO1,Curated,High-ranking informative gene,0.0
PLK1,Curated,Cell cycle,0.6868817187277272
POLQ,Curated,High-ranking informative gene,0.0
MCM6,Curated,Cell cycle,0.6868817187277272
MCM4,Curated,Cell cycle,0.6868817187277272
BRCA2,Curated,DNA damage repair,0.6868817187277272
CDC7,Curated,High-ranking informative gene,0.0
HSPB2,Curated,Stress Senescence,0.6868817187277272
MCM3,Curated,Cell cycle,0.6868817187277272
ITGA3,Curated,High-ranking informative gene,0.0
EGLN2,Curated,High-ranking informative gene,0.0
ITGB3,Curated,High-ranking informative gene,0.0
LDHA,Curated,High-ranking informative gene,0.0
MUC1,Curated,EMT Epithelial,0.8242580624732727
VEGFB,Curated,Hypoxia Angiogenesis,0.8242580624732727
ZEB2,Curated,EMT Epithelial,0.8242580624732727
LAMC1,Curated,ECM Fibroblast,0.8242580624732727
LAMA4,Curated,ECM Fibroblast,0.8242580624732727
EGLN1,Curated,Hypoxia Angiogenesis,0.8242580624732727
TIMP2,Curated,ECM Fibroblast,0.8242580624732727
VEGFC,Curated,Hypoxia Angiogenesis,0.8242580624732727
PGF,Curated,Hypoxia Angiogenesis,0.8242580624732727
MMP14,Curated,ECM Fibroblast,0.8242580624732727
LAMA2,Curated,ECM Fibroblast,0.8242580624732727
P4HA2,Curated,High-ranking informative gene,0.0
ITGA2,Curated,High-ranking informative gene,0.0
TWIST2,Curated,EMT Epithelial,0.8242580624732727
KRT20,Curated,EMT Epithelial,0.8242580624732727
CDH2,Curated,EMT Epithelial,0.8242580624732727
LAMB1,Curated,ECM Fibroblast,0.8242580624732727
LOXL2,Curated,ECM Fibroblast,0.8242580624732727
ITGA5,Curated,EMT Epithelial,0.8242580624732727
ITGB5,Curated,High-ranking informative gene,0.0
ZEB1,Curated,EMT Epithelial,0.8242580624732727
ITGA1,Curated,High-ranking informative gene,0.0
TEK,Curated,Hypoxia Angiogenesis,0.8242580624732727
TWIST1,Curated,EMT Epithelial,0.8242580624732727
VEGFA,Curated,Hypoxia Angiogenesis,0.8242580624732727
EPCAM,Curated,EMT Epithelial,0.8242580624732727
PDGFA,Curated,Hypoxia Angiogenesis,0.8242580624732727
P4HA1,Curated,High-ranking informative gene,0.0
PDK3,Curated,High-ranking informative gene,0.0
PDGFB,Curated,Hypoxia Angiogenesis,0.8242580624732727
ANGPT1,Curated,Hypoxia Angiogenesis,0.8242580624732727
CDH1,Curated,EMT Epithelial,0.8242580624732727
SNAI1,Curated,EMT Epithelial,0.8242580624732727
PDK1,Curated,High-ranking informative gene,0.0
ITGAV,Curated,High-ranking informative gene,0.0
EGLN3,Curated,High-ranking informative gene,0.0
P4HB,Curated,High-ranking informative gene,0.0
ENTPD1,Curated,,
NT5E,Curated,,
ICOSLG,Curated,,
CLEC4C,Curated,,
